Technology,Package,Function,Purpose
5G NR,nrConversion,BandwidthToRB(),Converts Bandwidth (MHz) to RB (Count)
5G NR,nrConversion,McsToQm(),Converts MCS to Modulation Order (bits/Symbol)
5G NR,nrConversion,McsToR(),Converts MCS to Target Code Rate (R)
5G NR,nrConversion,McsToSe(),Converts MCS to Spectral Efficiency (bps/Hz)
5G NR,nrConversion,NumerologyToScs(),Converts Numerology (µ) to SCS (kHz)
5G NR,nrConversion,NumerologyToSlotPerFrame(),Converts Numerology (µ) to Slot/Frame (Count)
5G NR,nrConversion,NumerologyToSlotPerSubframe(),Converts Numerology (µ) to Slot/Subframe (Count)
5G NR,nrConversion,NumerologyToSymbolPerSlot(),Converts Numerology (µ) to Symbol/Slot (Count)
5G NR,nrConversion,QCIToPacketDelay(),Converts 5QI to Packet Delay (ms)
5G NR,nrConversion,QCIToPacketLoss(),Converts 5QI to Packet Loss Rate (%) 
5G NR,nrConversion,QCIToPriority(),Converts 5QI to Priority 
5G NR,nrConversion,QCIToType(),Converts 5QI to Bit Rate Type
5G NR,nrDownlink,Tbs(),Calculates Transport Block Size (Bytes)
5G NR,nrMeasurement,SsRsrp(),Calculates SS-RSRP (dBm)
5G NR,nrMeasurement,SsRsrq(),Calculates SS-RSRQ (dB)
5G NR,nrPathloss,FreeSpace(),Generates Free Space Path Loss (dB)
